Lake,Year,Season,n_taxa,n_taxa_listed,group,period,island_oikos,in_oikos_core_19,in_focus_23,match_status,name_display
Caldeirao,2018,Winter,27,,phyto,2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2018,Spring,25,,phyto,2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2018,Summer,30,,phyto,2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2018,Autumn,32,,phyto,2018,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Winter,24,,phyto,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Spring,25,,phyto,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Summer,9,,phyto,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Autumn,12,,phyto,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Winter,9,,phyto,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Spring,12,,phyto,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Summer,10,,phyto,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Winter,25,,phyto_incl_bacillariophyta,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Spring,26,,phyto_incl_bacillariophyta,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Summer,9,,phyto_incl_bacillariophyta,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2024,Autumn,12,,phyto_incl_bacillariophyta,2024,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Winter,10,,phyto_incl_bacillariophyta,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Spring,14,,phyto_incl_bacillariophyta,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Summer,11,,phyto_incl_bacillariophyta,2025,Corvo,True,True,matched,Caldeirão
Caldeirao,2011,Summer,15,110,zoo,historical,Corvo,True,True,matched,Caldeirão
Caldeirao,2025,Spring,0,,zoo,2025,Corvo,True,True,matched,Caldeirão
Branca,2006,Winter,23,412,diatom,historical,Flores,False,False,historical_only,Branca
Branca,2006,Autumn,11,412,diatom,historical,Flores,False,False,historical_only,Branca
Branca,2008,Spring,11,412,diatom,historical,Flores,False,False,historical_only,Branca
Branca,2008,Autumn,18,412,diatom,historical,Flores,False,False,historical_only,Branca
Branca,2006,Winter,3,156,macro,historical,Flores,False,False,historical_only,Branca
Branca,2008,Autumn,6,156,macro,historical,Flores,False,False,historical_only,Branca
Branca,2008,Spring,7,127,macrophyte,historical,Flores,False,False,historical_only,Branca
Branca,2006,Winter,38,279,phyto,historical,Flores,False,False,historical_only,Branca
Branca,2006,Autumn,42,279,phyto,historical,Flores,False,False,historical_only,Branca
Branca,2008,Spring,38,279,phyto,historical,Flores,False,False,historical_only,Branca
Branca,2008,Autumn,35,279,phyto,historical,Flores,False,False,historical_only,Branca
Comprida,2004,Autumn,36,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2006,Winter,31,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2006,Summer,28,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2008,Spring,16,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2008,Autumn,19,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2009,Summer,28,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2010,Winter,19,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2010,Summer,25,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2011,Spring,38,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2011,Summer,36,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2011,Autumn,33,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2012,Winter,35,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2012,Spring,28,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2012,Summer,38,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2012,Autumn,29,412,diatom,historical,Flores,True,True,matched,Comprida
Comprida,2015,Autumn,27,,diatom,2015,Flores,True,True,matched,Comprida
Comprida,2016,Spring,23,,diatom,2016,Flores,True,True,matched,Comprida
Comprida,2016,Summer,24,,diatom,2016,Flores,True,True,matched,Comprida
Comprida,2016,Autumn,32,,diatom,2016,Flores,True,True,matched,Comprida
Comprida,2017,Winter,29,,diatom,2017,Flores,True,True,matched,Comprida
Comprida,2017,Autumn,22,,diatom,2017_2018,Flores,True,True,matched,Comprida
Comprida,2018,Winter,25,,diatom,2017_2018,Flores,True,True,matched,Comprida
Comprida,2018,Spring,27,,diatom,2017_2018,Flores,True,True,matched,Comprida
Comprida,2024,Winter,37,,diatom,2024,Flores,True,True,matched,Comprida
Comprida,2024,Spring,32,,diatom,2024,Flores,True,True,matched,Comprida
Comprida,2024,Summer,23,,diatom,2024,Flores,True,True,matched,Comprida
Comprida,2024,Autumn,26,,diatom,2024,Flores,True,True,matched,Comprida
Comprida,2025,Winter,34,,diatom,2025,Flores,True,True,matched,Comprida
Comprida,2025,Spring,29,,diatom,2025,Flores,True,True,matched,Comprida
Comprida,2025,Summer,31,,diatom,2025,Flores,True,True,matched,Comprida
Comprida,2025,Autumn,32,,diatom,2025,Flores,True,True,matched,Comprida
Comprida,2004,Autumn,5,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2006,Winter,1,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2008,Autumn,2,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2010,Winter,1,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2010,Summer,1,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2011,Winter,3,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2011,Spring,2,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2011,Summer,5,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2012,Spring,5,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2012,Summer,2,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2012,Autumn,1,156,macro,historical,Flores,True,True,matched,Comprida
Comprida,2018,Spring,4,121.0,macro,2018,Flores,True,True,matched,Comprida
Comprida,2024,Winter,8,,macro,2024,Flores,True,True,matched,Comprida
Comprida,2024,Spring,8,,macro,2024,Flores,True,True,matched,Comprida
Comprida,2024,Summer,4,,macro,2024,Flores,True,True,matched,Comprida
Comprida,2024,Autumn,1,,macro,2024,Flores,True,True,matched,Comprida
Comprida,2025,Winter,3,,macro,2025,Flores,True,True,matched,Comprida
Comprida,2025,Spring,5,,macro,2025,Flores,True,True,matched,Comprida
Comprida,2025,Summer,2,,macro,2025,Flores,True,True,matched,Comprida
Comprida,2025,Autumn,2,,macro,2025,Flores,True,True,matched,Comprida
Comprida,2010,Summer,3,127,macrophyte,historical,Flores,True,True,matched,Comprida
Comprida,2011,Summer,8,127,macrophyte,historical,Flores,True,True,matched,Comprida
Comprida,2012,Summer,13,127,macrophyte,historical,Flores,True,True,matched,Comprida
Comprida,2005,Spring,21,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2005,Autumn,20,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2006,Winter,16,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2006,Summer,16,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2008,Spring,24,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2008,Autumn,19,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2009,Summer,20,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2010,Winter,16,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2010,Summer,18,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2011,Winter,19,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2011,Spring,23,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2011,Summer,15,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2011,Autumn,21,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2012,Winter,15,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2012,Spring,18,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2012,Summer,15,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2012,Autumn,12,279,phyto,historical,Flores,True,True,matched,Comprida
Comprida,2018,Winter,9,,phyto,2018,Flores,True,True,matched,Comprida
Comprida,2018,Spring,9,,phyto,2018,Flores,True,True,matched,Comprida
Comprida,2018,Summer,26,,phyto,2018,Flores,True,True,matched,Comprida
Comprida,2018,Autumn,24,,phyto,2018,Flores,True,True,matched,Comprida
Comprida,2024,Winter,11,,phyto,2024,Flores,True,True,matched,Comprida
Comprida,2024,Spring,12,,phyto,2024,Flores,True,True,matched,Comprida
Comprida,2024,Summer,6,,phyto,2024,Flores,True,True,matched,Comprida
Comprida,2024,Autumn,6,,phyto,2024,Flores,True,True,matched,Comprida
Comprida,2025,Winter,8,,phyto,2025,Flores,True,True,matched,Comprida
Comprida,2025,Spring,7,,phyto,2025,Flores,True,True,matched,Comprida
Comprida,2025,Summer,7,,phyto,2025,Flores,True,True,matched,Comprida
Comprida,2025,Autumn,6,,phyto,2025,Flores,True,True,matched,Comprida
Comprida,2024,Winter,16,,phyto_incl_bacillariophyta,2024,Flores,True,True,matched,Comprida
Comprida,2024,Spring,15,,phyto_incl_bacillariophyta,2024,Flores,True,True,matched,Comprida
Comprida,2024,Summer,7,,phyto_incl_bacillariophyta,2024,Flores,True,True,matched,Comprida
Comprida,2024,Autumn,10,,phyto_incl_bacillariophyta,2024,Flores,True,True,matched,Comprida
Comprida,2025,Winter,12,,phyto_incl_bacillariophyta,2025,Flores,True,True,matched,Comprida
Comprida,2025,Spring,11,,phyto_incl_bacillariophyta,2025,Flores,True,True,matched,Comprida
Comprida,2025,Summer,9,,phyto_incl_bacillariophyta,2025,Flores,True,True,matched,Comprida
Comprida,2025,Autumn,8,,phyto_incl_bacillariophyta,2025,Flores,True,True,matched,Comprida
Comprida,2011,Summer,4,110,zoo,historical,Flores,True,True,matched,Comprida
Comprida,2011,Autumn,8,110,zoo,historical,Flores,True,True,matched,Comprida
Comprida,2012,Winter,11,110,zoo,historical,Flores,True,True,matched,Comprida
Comprida,2012,Spring,11,110,zoo,historical,Flores,True,True,matched,Comprida
Comprida,2025,Spring,4,,zoo,2025,Flores,True,True,matched,Comprida
Funda,2005,Winter,21,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2005,Summer,37,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2006,Winter,39,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2006,Spring,23,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2006,Summer,33,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2006,Autumn,29,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2008,Winter,28,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2008,Spring,26,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2008,Summer,22,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2008,Autumn,31,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2009,Summer,18,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2010,Autumn,19,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2011,Spring,36,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2011,Summer,28,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2012,Winter,28,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2012,Spring,30,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2012,Summer,31,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2012,Autumn,36,412,diatom,historical,Flores,False,True,matched,Funda
Funda,2015,Autumn,19,,diatom,2015,Flores,False,True,matched,Funda
Funda,2016,Spring,26,,diatom,2016,Flores,False,True,matched,Funda
Funda,2016,Spring,21,,diatom,2016,Flores,False,True,matched,Funda
Funda,2016,Summer,29,,diatom,2016,Flores,False,True,matched,Funda
Funda,2016,Autumn,30,,diatom,2016,Flores,False,True,matched,Funda
Funda,2017,Winter,24,,diatom,2017,Flores,False,True,matched,Funda
Funda,2017,Autumn,17,,diatom,2017_2018,Flores,False,True,matched,Funda
Funda,2018,Winter,22,,diatom,2017_2018,Flores,False,True,matched,Funda
Funda,2018,Spring,28,,diatom,2017_2018,Flores,False,True,matched,Funda
Funda,2024,Winter,20,,diatom,2024,Flores,False,True,matched,Funda
Funda,2024,Spring,22,,diatom,2024,Flores,False,True,matched,Funda
Funda,2024,Summer,16,,diatom,2024,Flores,False,True,matched,Funda
Funda,2024,Autumn,16,,diatom,2024,Flores,False,True,matched,Funda
Funda,2025,Winter,15,,diatom,2025,Flores,False,True,matched,Funda
Funda,2025,Spring,11,,diatom,2025,Flores,False,True,matched,Funda
Funda,2025,Summer,18,,diatom,2025,Flores,False,True,matched,Funda
Funda,2025,Autumn,27,,diatom,2025,Flores,False,True,matched,Funda
Funda,2018,Spring,10,121.0,macro,2018,Flores,False,True,matched,Funda
Funda,2024,Winter,5,,macro,2024,Flores,False,True,matched,Funda
Funda,2024,Spring,3,,macro,2024,Flores,False,True,matched,Funda
Funda,2024,Summer,3,,macro,2024,Flores,False,True,matched,Funda
Funda,2024,Autumn,4,,macro,2024,Flores,False,True,matched,Funda
Funda,2025,Winter,3,,macro,2025,Flores,False,True,matched,Funda
Funda,2025,Spring,4,,macro,2025,Flores,False,True,matched,Funda
Funda,2025,Summer,2,,macro,2025,Flores,False,True,matched,Funda
Funda,2025,Autumn,4,,macro,2025,Flores,False,True,matched,Funda
Funda,2010,Summer,5,127,macrophyte,historical,Flores,False,True,matched,Funda
Funda,2011,Summer,14,127,macrophyte,historical,Flores,False,True,matched,Funda
Funda,2012,Summer,20,127,macrophyte,historical,Flores,False,True,matched,Funda
Funda,2004,Autumn,7,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2005,Winter,5,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2005,Spring,11,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2005,Summer,8,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2006,Winter,6,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2006,Spring,11,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2006,Summer,5,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2006,Autumn,5,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2008,Winter,4,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2008,Spring,9,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2008,Summer,9,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2008,Autumn,7,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2009,Winter,9,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2009,Summer,9,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2010,Winter,10,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2010,Spring,5,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2010,Summer,8,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2010,Autumn,11,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2011,Winter,11,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2011,Spring,11,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2011,Summer,9,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2011,Autumn,10,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2012,Winter,7,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2012,Spring,12,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2012,Summer,6,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2012,Autumn,8,279,phyto,historical,Flores,False,True,matched,Funda
Funda,2018,Winter,7,,phyto,2018,Flores,False,True,matched,Funda
Funda,2018,Spring,10,,phyto,2018,Flores,False,True,matched,Funda
Funda,2018,Summer,10,,phyto,2018,Flores,False,True,matched,Funda
Funda,2018,Autumn,12,,phyto,2018,Flores,False,True,matched,Funda
Funda,2024,Winter,13,,phyto,2024,Flores,False,True,matched,Funda
Funda,2024,Spring,13,,phyto,2024,Flores,False,True,matched,Funda
Funda,2024,Summer,7,,phyto,2024,Flores,False,True,matched,Funda
Funda,2024,Autumn,6,,phyto,2024,Flores,False,True,matched,Funda
Funda,2025,Winter,4,,phyto,2025,Flores,False,True,matched,Funda
Funda,2025,Spring,4,,phyto,2025,Flores,False,True,matched,Funda
Funda,2025,Summer,7,,phyto,2025,Flores,False,True,matched,Funda
Funda,2025,Autumn,5,,phyto,2025,Flores,False,True,matched,Funda
Funda,2024,Winter,17,,phyto_incl_bacillariophyta,2024,Flores,False,True,matched,Funda
Funda,2024,Spring,16,,phyto_incl_bacillariophyta,2024,Flores,False,True,matched,Funda
Funda,2024,Summer,8,,phyto_incl_bacillariophyta,2024,Flores,False,True,matched,Funda
Funda,2024,Autumn,7,,phyto_incl_bacillariophyta,2024,Flores,False,True,matched,Funda
Funda,2025,Winter,5,,phyto_incl_bacillariophyta,2025,Flores,False,True,matched,Funda
Funda,2025,Spring,6,,phyto_incl_bacillariophyta,2025,Flores,False,True,matched,Funda
Funda,2025,Summer,8,,phyto_incl_bacillariophyta,2025,Flores,False,True,matched,Funda
Funda,2025,Autumn,6,,phyto_incl_bacillariophyta,2025,Flores,False,True,matched,Funda
Funda,2011,Summer,6,110,zoo,historical,Flores,False,True,matched,Funda
Funda,2011,Autumn,10,110,zoo,historical,Flores,False,True,matched,Funda
Funda,2012,Winter,14,110,zoo,historical,Flores,False,True,matched,Funda
Funda,2012,Spring,11,110,zoo,historical,Flores,False,True,matched,Funda
Funda,2025,Spring,6,,zoo,2025,Flores,False,True,matched,Funda
Lomba,2004,Spring,43,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2004,Autumn,61,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2006,Winter,49,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2006,Summer,50,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2008,Spring,41,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2008,Autumn,61,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2009,Spring,31,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2009,Summer,32,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2010,Winter,34,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2010,Summer,42,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2011,Winter,45,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2011,Spring,50,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2011,Summer,29,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2011,Autumn,35,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2012,Winter,36,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2012,Spring,35,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2012,Summer,31,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2012,Autumn,39,412,diatom,historical,Flores,True,True,matched,Lomba
Lomba,2015,Autumn,30,,diatom,2015,Flores,True,True,matched,Lomba
Lomba,2016,Spring,59,,diatom,2016,Flores,True,True,matched,Lomba
Lomba,2016,Spring,26,,diatom,2016,Flores,True,True,matched,Lomba
Lomba,2016,Summer,25,,diatom,2016,Flores,True,True,matched,Lomba
Lomba,2016,Autumn,34,,diatom,2016,Flores,True,True,matched,Lomba
Lomba,2017,Winter,29,,diatom,2017,Flores,True,True,matched,Lomba
Lomba,2017,Autumn,23,,diatom,2017_2018,Flores,True,True,matched,Lomba
Lomba,2018,Winter,31,,diatom,2017_2018,Flores,True,True,matched,Lomba
Lomba,2018,Spring,30,,diatom,2017_2018,Flores,True,True,matched,Lomba
Lomba,2024,Winter,28,,diatom,2024,Flores,True,True,matched,Lomba
Lomba,2024,Spring,41,,diatom,2024,Flores,True,True,matched,Lomba
Lomba,2024,Summer,30,,diatom,2024,Flores,True,True,matched,Lomba
Lomba,2024,Autumn,35,,diatom,2024,Flores,True,True,matched,Lomba
Lomba,2025,Winter,35,,diatom,2025,Flores,True,True,matched,Lomba
Lomba,2025,Spring,33,,diatom,2025,Flores,True,True,matched,Lomba
Lomba,2025,Summer,30,,diatom,2025,Flores,True,True,matched,Lomba
Lomba,2025,Autumn,25,,diatom,2025,Flores,True,True,matched,Lomba
Lomba,2004,Autumn,9,156,macro,historical,Flores,True,True,matched,Lomba
Lomba,2005,Spring,4,156,macro,historical,Flores,True,True,matched,Lomba
Lomba,2006,Winter,2,156,macro,historical,Flores,True,True,matched,Lomba
Lomba,2008,Spring,9,156,macro,historical,Flores,True,True,matched,Lomba
Lomba,2008,Autumn,4,156,macro,historical,Flores,True,True,matched,Lomba
Lomba,2010,Winter,8,156,macro,historical,Flores,True,True,matched,Lomba
